Episode  10100/20000 | Avg Reward:   12.81 | Max F: 1.0000 | Depth:   5 | LR: 6.03e-05 | Eps: 0.100
Episode  10200/20000 | Avg Reward:   11.50 | Max F: 1.0000 | Depth:   8 | LR: 6.00e-05 | Eps: 0.100
Episode  10300/20000 | Avg Reward:   10.58 | Max F: 1.0000 | Depth:   4 | LR: 5.97e-05 | Eps: 0.100
Episode  10400/20000 | Avg Reward:   11.89 | Max F: 1.0000 | Depth:   5 | LR: 5.95e-05 | Eps: 0.100
Episode  10500/20000 | Avg Reward:   -5.78 | Max F: 0.5000 | Depth:  20 | LR: 5.92e-05 | Eps: 0.100
Episode  10600/20000 | Avg Reward:   -8.03 | Max F: 0.5000 | Depth:  20 | LR: 5.89e-05 | Eps: 0.100
Episode  10700/20000 | Avg Reward:    2.59 | Max F: 1.0000 | Depth:   3 | LR: 5.86e-05 | Eps: 0.100
Episode  10800/20000 | Avg Reward:   11.70 | Max F: 1.0000 | Depth:   3 | LR: 5.83e-05 | Eps: 0.100
Episode  10900/20000 | Avg Reward:   12.06 | Max F: 1.0000 | Depth:   3 | LR: 5.80e-05 | Eps: 0.100
Episode  11000/20000 | Avg Reward:   12.43 | Max F: 1.0000 | Depth:   4 | LR: 5.77e-05 | Eps: 0.100
Episode  11100/20000 | Avg Reward:   12.91 | Max F: 1.0000 | Depth:   3 | LR: 5.74e-05 | Eps: 0.100
Episode  11200/20000 | Avg Reward:   12.66 | Max F: 1.0000 | Depth:   3 | LR: 5.71e-05 | Eps: 0.100
Episode  11300/20000 | Avg Reward:   11.95 | Max F: 0.5000 | Depth:  20 | LR: 5.68e-05 | Eps: 0.100
Episode  11400/20000 | Avg Reward:   11.02 | Max F: 1.0000 | Depth:   3 | LR: 5.66e-05 | Eps: 0.100
Episode  11500/20000 | Avg Reward:   12.58 | Max F: 1.0000 | Depth:   3 | LR: 5.63e-05 | Eps: 0.100
Episode  11600/20000 | Avg Reward:   11.02 | Max F: 1.0000 | Depth:   4 | LR: 5.60e-05 | Eps: 0.100
Episode  11700/20000 | Avg Reward:    8.78 | Max F: 1.0000 | Depth:   4 | LR: 5.57e-05 | Eps: 0.100
Episode  11800/20000 | Avg Reward:   11.15 | Max F: 1.0000 | Depth:   4 | LR: 5.54e-05 | Eps: 0.100
Episode  11900/20000 | Avg Reward:    9.47 | Max F: 1.0000 | Depth:   4 | LR: 5.52e-05 | Eps: 0.100
Episode  12000/20000 | Avg Reward:    9.09 | Max F: 1.0000 | Depth:   3 | LR: 5.49e-05 | Eps: 0.100
Episode  12100/20000 | Avg Reward:   -4.45 | Max F: 0.5000 | Depth:  20 | LR: 5.46e-05 | Eps: 0.100
Episode  12200/20000 | Avg Reward:   -8.02 | Max F: 0.5000 | Depth:  20 | LR: 5.43e-05 | Eps: 0.100
Episode  12300/20000 | Avg Reward:    5.89 | Max F: 1.0000 | Depth:   3 | LR: 5.41e-05 | Eps: 0.100
Episode  12400/20000 | Avg Reward:   11.74 | Max F: 0.5000 | Depth:  20 | LR: 5.38e-05 | Eps: 0.100
Episode  12500/20000 | Avg Reward:   11.68 | Max F: 1.0000 | Depth:   4 | LR: 5.35e-05 | Eps: 0.100
Episode  12600/20000 | Avg Reward:   10.50 | Max F: 0.5000 | Depth:  20 | LR: 5.33e-05 | Eps: 0.100
Episode  12700/20000 | Avg Reward:   -2.12 | Max F: 0.5000 | Depth:  20 | LR: 5.30e-05 | Eps: 0.100
Episode  12800/20000 | Avg Reward:   -7.37 | Max F: 1.0000 | Depth:   4 | LR: 5.27e-05 | Eps: 0.100
Episode  12900/20000 | Avg Reward:   10.37 | Max F: 1.0000 | Depth:   4 | LR: 5.25e-05 | Eps: 0.100
Episode  13000/20000 | Avg Reward:   11.06 | Max F: 1.0000 | Depth:   7 | LR: 5.22e-05 | Eps: 0.100
Episode  13100/20000 | Avg Reward:   10.19 | Max F: 1.0000 | Depth:   4 | LR: 5.19e-05 | Eps: 0.100
Episode  13200/20000 | Avg Reward:    9.72 | Max F: 1.0000 | Depth:   4 | LR: 5.17e-05 | Eps: 0.100
Episode  13300/20000 | Avg Reward:    8.59 | Max F: 1.0000 | Depth:  20 | LR: 5.14e-05 | Eps: 0.100
Episode  13400/20000 | Avg Reward:   -0.66 | Max F: 0.5000 | Depth:  20 | LR: 5.12e-05 | Eps: 0.100
Episode  13500/20000 | Avg Reward:   -0.87 | Max F: 0.5000 | Depth:  20 | LR: 5.09e-05 | Eps: 0.100
Episode  13600/20000 | Avg Reward:   11.62 | Max F: 1.0000 | Depth:   4 | LR: 5.07e-05 | Eps: 0.100
Episode  13700/20000 | Avg Reward:   10.71 | Max F: 1.0000 | Depth:   4 | LR: 5.04e-05 | Eps: 0.100
Episode  13800/20000 | Avg Reward:   10.64 | Max F: 1.0000 | Depth:   4 | LR: 5.02e-05 | Eps: 0.100
Episode  13900/20000 | Avg Reward:   10.92 | Max F: 1.0000 | Depth:   6 | LR: 4.99e-05 | Eps: 0.100
Episode  14000/20000 | Avg Reward:   10.15 | Max F: 1.0000 | Depth:   4 | LR: 4.97e-05 | Eps: 0.100
Episode  14100/20000 | Avg Reward:    9.92 | Max F: 1.0000 | Depth:   4 | LR: 4.94e-05 | Eps: 0.100
Episode  14200/20000 | Avg Reward:    5.33 | Max F: 1.0000 | Depth:   4 | LR: 4.92e-05 | Eps: 0.100
Episode  14300/20000 | Avg Reward:   10.03 | Max F: 1.0000 | Depth:   6 | LR: 4.89e-05 | Eps: 0.100
Episode  14400/20000 | Avg Reward:   10.50 | Max F: 1.0000 | Depth:   4 | LR: 4.87e-05 | Eps: 0.100

Stopping: average reward has not improved for 5000 episodes.
