Episode   9100/20000 | Avg Reward:   -1.86 | Max F: 0.1573 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9200/20000 | Avg Reward:   -1.73 | Max F: 0.0181 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9300/20000 | Avg Reward:   -1.91 | Max F: 0.1570 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9400/20000 | Avg Reward:   -1.89 | Max F: 0.0239 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9500/20000 | Avg Reward:   -1.81 | Max F: 0.1573 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9600/20000 | Avg Reward:   -1.72 | Max F: 0.2859 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9700/20000 | Avg Reward:   -1.73 | Max F: 0.0215 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9800/20000 | Avg Reward:   -1.85 | Max F: 0.2344 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode   9900/20000 | Avg Reward:   -1.84 | Max F: 0.0187 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10000/20000 | Avg Reward:   -1.92 | Max F: 0.3814 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10100/20000 | Avg Reward:   -1.75 | Max F: 0.2777 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10200/20000 | Avg Reward:   -1.85 | Max F: 0.0109 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10300/20000 | Avg Reward:   -1.86 | Max F: 0.2777 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10400/20000 | Avg Reward:   -1.83 | Max F: 0.1265 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10500/20000 | Avg Reward:   -1.87 | Max F: 0.1440 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10600/20000 | Avg Reward:   -1.70 | Max F: 0.0842 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10700/20000 | Avg Reward:   -1.79 | Max F: 0.0263 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10800/20000 | Avg Reward:   -1.70 | Max F: 0.0842 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  10900/20000 | Avg Reward:   -1.81 | Max F: 0.0710 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11000/20000 | Avg Reward:   -1.86 | Max F: 0.1052 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11100/20000 | Avg Reward:   -1.89 | Max F: 0.2777 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11200/20000 | Avg Reward:   -1.85 | Max F: 0.0360 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11300/20000 | Avg Reward:   -1.94 | Max F: 0.1567 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11400/20000 | Avg Reward:   -1.86 | Max F: 0.0953 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11500/20000 | Avg Reward:   -1.94 | Max F: 0.2344 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11600/20000 | Avg Reward:   -1.95 | Max F: 0.0241 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11700/20000 | Avg Reward:   -1.69 | Max F: 0.0705 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11800/20000 | Avg Reward:   -1.80 | Max F: 0.0784 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  11900/20000 | Avg Reward:   -1.77 | Max F: 0.1618 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
